id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
550438000149401602	550437553326006272	2015-01-01 00:47:00 CET	2015-01-01	00:47:00	+0200	702370177	evoshieid	Ya Boy		@MigrantTrack I'm here young migrant	en	[]	[]	[]	2	0	2	[]	[]	https://twitter.com/EvoShieId/status/550438000149401602	False		0								[]				
550437919098281986	550437919098281986	2015-01-01 00:46:41 CET	2015-01-01	00:46:41	+0200	5951392	quadrapop	quadrapop tree		This  http://t.co/in7pFrdJEV puts the Australian refugee situation into perspective. Trickle or flood to Australia?	en	[]	['http://mobile.abc.net.au/news/2015-01-01/nearly-1000-migrants-arrive-in-italy-on-abandoned-cargo-ship/5995374']	[]	0	0	0	[]	[]	https://twitter.com/quadrapop/status/550437919098281986	False		0								[]				
550437558346199040	550437558346199040	2015-01-01 00:45:15 CET	2015-01-01	00:45:15	+0200	2477965532	hihidco	Hihid		#Jeb #Bush #declines #invitation #from #immigration …: Jeb Bush declines invitation from immigration … Associated…  http://t.co/7rhxbuuExG	en	[]	['http://goo.gl/fb/mfEluC']	[]	0	0	0	['jeb', 'bush', 'declines', 'invitation', 'from', 'immigration']	[]	https://twitter.com/hihidco/status/550437558346199040	False		0								[]				
550437555217235968	550437555217235968	2015-01-01 00:45:14 CET	2015-01-01	00:45:14	+0200	523829266	nw_iowa_refugee	The Mr. B		@KCMO Why wasn't trash picked up today? I thought 12/31 was business as usual?	en	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/nw_iowa_refugee/status/550437555217235968	False		0								[]				
550437524783366144	550437524783366144	2015-01-01 00:45:07 CET	2015-01-01	00:45:07	+0200	2477965532	hihidco	Hihid		#Jeb #Bush #declines #invitation #from #immigration …: Jeb Bush declines invitation from…  http://t.co/mpvji6eZRx	en	[]	['http://goo.gl/fb/BiivPX']	[]	0	0	0	['jeb', 'bush', 'declines', 'invitation', 'from', 'immigration']	[]	https://twitter.com/hihidco/status/550437524783366144	False		0								[]				
550437442395070465	550437442395070465	2015-01-01 00:44:47 CET	2015-01-01	00:44:47	+0200	225096208	jamesphelge	James Phelge		- @David_Cameron @Conservatives to boost immigration by importing foreign nurses  http://t.co/Nrs91ZW8bK  @MailOnline	en	[{'screen_name': 'david_cameron', 'name': 'david cameron', 'id': '103065157'}, {'screen_name': 'conservatives', 'name': 'conservatives', 'id': '14281853'}, {'screen_name': 'mailonline', 'name': 'daily mail online', 'id': '15438913'}]	['http://www.dailymail.co.uk/news/article-61795/Half-NHSs-new-nursing-recruits-overseas.html']	[]	1	1	0	[]	[]	https://twitter.com/JamesPhelge/status/550437442395070465	False		0								[]				
550437436174921728	550437436174921728	2015-01-01 00:44:46 CET	2015-01-01	00:44:46	+0200	2854752538	patriottweetz	ᖴᖇIEᗪ TᗩTEᖇᔕ ™		MT:@ RJGatorEsq: I’m one of the majority of Americans who wonders why having immigration laws and enforcing them is controversial.  #NoAm...	en	[]	[]	[]	0	0	0	['noam']	[]	https://twitter.com/PatriotTweetz/status/550437436174921728	False		0								[]				
550437427765325824	550437427765325824	2015-01-01 00:44:44 CET	2015-01-01	00:44:44	+0200	2854752538	patriottweetz	ᖴᖇIEᗪ TᗩTEᖇᔕ ™		RT:@ RJGatorEsq: I’m one of the majority of Americans who wonders why having immigration laws and enforcing them is controversial.  #NoAm...	en	[]	[]	[]	0	0	0	['noam']	[]	https://twitter.com/PatriotTweetz/status/550437427765325824	False		0								[]				
550437320730501120	550401375109382144	2015-01-01 00:44:18 CET	2015-01-01	00:44:18	+0200	2954099804	kamara_70	ibrahim kamara		@drpepper Am a refugee from sierra Leone going for human right	en	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/kamara_70/status/550437320730501120	False		0								[]				
550437320294686720	550380139033681921	2015-01-01 00:44:18 CET	2015-01-01	00:44:18	+0200	594244296	edasante77	EdAsante		@cereal_keeler @jbouie I'm not an immigrant. Either way I won't be joining you on the victimhood plantation.	en	[{'screen_name': 'jbouie', 'name': 'b-boy bouiebaisse', 'id': '14190948'}]	[]	[]	1	0	0	[]	[]	https://twitter.com/EdAsante77/status/550437320294686720	False		0								[]				
